	dICM1	dICM2	dICM3	dTE1	dTE2	dTE3	mICM1	mICM2	mICM3	mTE1	mTE2	mTE3	wtICM1	wtICM2	wtTE1	wtTE2
mmu-miR-6236	-1.89046577451369	-1.88829671194494	-1.7760873037456202	-1.89012257067883	-1.89063042702101	-1.8903154672194902	-1.8532788495972499	-1.84566382151591	-1.84250640150084	-1.8606720917680701	-1.8566172668634702	-1.8557315938917198	-1.83543265638575	-1.8661340368620902	-1.87225272935255	-1.8214815328078202
mmu-miR-6240	0.7325991077412081	0.806999613813395	0.904809567739221	0.73929612291775	0.8279575092741289	0.5507887815033851	0.40548628452293	0.4443593604738761	1.80544772046728	0.369033801666623	0.388825910886993	1.33284495831443	0.513988676107051	0.683931859416592	0.621351003433192	2.07697509798131
mmu-miR-6516-3p	-1.47816416630557	-1.5136062008976001	-1.6593152081881397	-1.65954502188859	-1.66042630780837	-1.6598796763606598	-1.61414431808904	-1.60328793694817	-1.5987865543217001	-1.6246845096701898	-1.61890373983538	-1.6176410782608301	-1.5887018544043099	-1.63247134342547	-1.64119447051714	-1.65603971236069
mmu-miR-652-3p	2.1286832610097	1.92004784152307	1.93973315762672	1.59127082246373	1.6785079028516001	1.2357706292155601	0.9191240387316469	0.968651095329587	1.78703101377277	0.872899423775165	2.1224782018206	1.2831467212618899	1.54405927521708	1.40716418679152	0.8059682499001999	1.70379392767545
mmu-miR-6538	-1.28251018602222	-1.27143800154275	-0.925165646327614	-1.2758016687545801	-1.05860346148293	-1.2795242027605	-1.1527323919894	-1.11756167562778	-0.25522482717746303	-1.18687876946895	-0.8855665130088879	-1.1640606199311798	-1.07030808667204	-1.2121052715425802	-1.24036502262783	-1.26602274871032
mmu-miR-6539	-0.760677912006372	-1.08804184944079	-1.0898042032511899	-1.09213918474088	-0.5883857826578871	-1.09561741790726	-0.9830083971760799	-0.947302269992948	-0.932497434157203	-1.01767459176229	-0.9986619115459459	-0.9945090769885141	-0.32555630474297104	-0.758220907368087	-1.07183163608106	-0.871022596357308
mmu-miR-664-5p	-0.8585735666301659	-0.892991111997601	-1.0368378786664698	-0.543468005649453	-0.885779374517588	-1.04021820510067	-0.956891510596055	-0.9282133617859459	-0.685903425873956	-0.9847344150344091	-0.9694639694403822	-0.966128530488658	-0.889682856977593	-1.00530406658736	-1.02599066126988	-0.7287563563788371
mmu-miR-664-3p	-0.9323561412650709	-0.6731832723481229	-0.687434321923924	-0.613339655732761	-0.855634098507825	-0.827121368991973	-0.8543385629501259	-0.8252995402786758	-0.813259086793584	-0.8825318308830731	-0.8670692283718621	-0.39705459848944397	-0.7862841836710791	-0.9033603223503921	-0.9170312469407339	-0.7659606327295708
mmu-miR-665-3p	-1.90663947940155	-1.9390114953231699	-1.8421495018421499	-1.9418473366205502	-1.9424098545472699	-1.9420500470868998	-1.9101824256961297	-1.90391322020926	-1.9013138187794199	-1.9162690420405502	-1.91293083628889	-1.9122016904742198	-1.8954902339922601	-1.9207656841785299	-1.9258030051343997	-1.93437564738157
mmu-miR-666-5p	-1.6349174494724097	-1.48183143171839	-1.42802841676254	-1.63425151166257	-1.63523715784298	-1.63462559367988	-1.5867315853259798	-1.5752535784016202	-1.5704944510013	-1.59787529798518	-1.5917635269142199	-1.5904285665708202	-1.55983231101376	-1.6061079982378998	-1.61533060306921	-1.6310258689652
